Jam,Suhu,Status
0,30.0,OPTIMAL
1,30.0,OPTIMAL
2,30.0,OPTIMAL
3,30.0,OPTIMAL
4,30.0,OPTIMAL
5,30.0,OPTIMAL
6,30.0,OPTIMAL
7,30.0,OPTIMAL
8,30.0,OPTIMAL
9,30.0,OPTIMAL
10,30.01,OPTIMAL
11,30.01,OPTIMAL
12,30.01,OPTIMAL
13,30.01,OPTIMAL
14,30.01,OPTIMAL
15,30.01,OPTIMAL
16,30.01,OPTIMAL
17,30.01,OPTIMAL
18,30.01,OPTIMAL
19,30.01,OPTIMAL
20,30.01,OPTIMAL
21,30.01,OPTIMAL
22,30.01,OPTIMAL
23,30.01,OPTIMAL
24,30.01,OPTIMAL
25,30.01,OPTIMAL
26,30.01,OPTIMAL
27,30.01,OPTIMAL
28,30.01,OPTIMAL
29,30.01,OPTIMAL
30,30.01,OPTIMAL
31,30.01,OPTIMAL
32,30.02,OPTIMAL
33,30.02,OPTIMAL
34,30.02,OPTIMAL
35,30.02,OPTIMAL
36,30.02,OPTIMAL
37,30.02,OPTIMAL
38,30.02,OPTIMAL
39,30.02,OPTIMAL
40,30.02,OPTIMAL
41,30.02,OPTIMAL
42,30.02,OPTIMAL
43,30.02,OPTIMAL
44,30.02,OPTIMAL
45,30.02,OPTIMAL
46,30.02,OPTIMAL
47,30.02,OPTIMAL
48,30.02,OPTIMAL
49,30.02,OPTIMAL
50,30.02,OPTIMAL
51,30.02,OPTIMAL
52,30.02,OPTIMAL
53,30.02,OPTIMAL
54,30.03,OPTIMAL
55,30.03,OPTIMAL
56,30.03,OPTIMAL
57,30.03,OPTIMAL
58,30.03,OPTIMAL
59,30.03,OPTIMAL
60,30.03,OPTIMAL
61,30.03,OPTIMAL
62,30.03,OPTIMAL
63,30.03,OPTIMAL
64,30.03,OPTIMAL
65,30.03,OPTIMAL
66,30.03,OPTIMAL
67,30.03,OPTIMAL
68,30.03,OPTIMAL
69,30.03,OPTIMAL
70,30.03,OPTIMAL
71,30.03,OPTIMAL
72,30.03,OPTIMAL
73,30.03,OPTIMAL
74,30.03,OPTIMAL
75,30.03,OPTIMAL
76,30.04,OPTIMAL
77,30.04,OPTIMAL
78,30.04,OPTIMAL
79,30.04,OPTIMAL
80,30.04,OPTIMAL
81,30.04,OPTIMAL
82,30.04,OPTIMAL
83,30.04,OPTIMAL
84,30.04,OPTIMAL
85,30.04,OPTIMAL
86,30.04,OPTIMAL
87,30.04,OPTIMAL
88,30.04,OPTIMAL
89,30.04,OPTIMAL
90,30.04,OPTIMAL
91,30.04,OPTIMAL
92,30.04,OPTIMAL
93,30.04,OPTIMAL
94,30.04,OPTIMAL
95,30.04,OPTIMAL
96,30.04,OPTIMAL
97,30.04,OPTIMAL
98,30.05,OPTIMAL
99,30.05,OPTIMAL
100,30.05,OPTIMAL
101,30.05,OPTIMAL
102,30.05,OPTIMAL
103,30.05,OPTIMAL
104,30.05,OPTIMAL
105,30.05,OPTIMAL
106,30.05,OPTIMAL
107,30.05,OPTIMAL
108,30.05,OPTIMAL
109,30.05,OPTIMAL
110,30.05,OPTIMAL
111,30.05,OPTIMAL
112,30.05,OPTIMAL
113,30.05,OPTIMAL
114,30.05,OPTIMAL
115,30.05,OPTIMAL
116,30.05,OPTIMAL
117,30.05,OPTIMAL
118,30.05,OPTIMAL
119,30.05,OPTIMAL
